Time;Channel;Count
2021-04-15 09:41:50.516259;Switch_on;1
2021-04-15 09:41:50.519047;Nederlands;1
2021-04-15 09:41:50.529406;Switch_on;1
2021-04-15 09:41:50.532253;Nederlands;1
2021-04-15 09:41:50.542634;Switch_on;1
2021-04-15 09:41:50.545433;Nederlands;1
2021-04-15 09:41:50.555796;Switch_on;1
2021-04-15 09:41:50.558577;Nederlands;1
2021-04-15 09:41:50.568932;Switch_on;1
2021-04-15 09:41:50.571776;Nederlands;1
2021-04-15 09:41:50.582202;Switch_on;1
2021-04-15 09:41:50.585245;Nederlands;1
2021-04-15 09:41:50.595649;Switch_on;1
2021-04-15 09:41:50.598443;Nederlands;1
2021-04-15 09:41:50.608799;Switch_on;1
2021-04-15 09:41:50.611646;Nederlands;1
2021-04-15 09:41:50.622025;Switch_on;1
2021-04-15 09:41:50.624815;Nederlands;1
2021-04-15 09:41:50.635178;Switch_on;1
2021-04-15 09:41:50.637969;Nederlands;1
2021-04-15 09:41:50.648329;Switch_on;1
2021-04-15 09:41:50.651192;Nederlands;1
2021-04-15 09:41:50.661569;Switch_on;1
2021-04-15 09:41:50.664369;Nederlands;1
2021-04-15 09:41:50.674772;Switch_on;1
2021-04-15 09:41:50.677740;Nederlands;1
2021-04-15 09:41:50.688144;Switch_on;1
2021-04-15 09:41:50.691050;Nederlands;1
2021-04-15 09:41:50.701435;Switch_on;1
2021-04-15 09:41:50.704248;Nederlands;1
2021-04-15 09:41:50.714613;Switch_on;1
2021-04-15 09:41:50.717398;Nederlands;1
2021-04-15 09:41:50.727756;Switch_on;1
2021-04-15 09:41:50.730619;Nederlands;1
2021-04-15 09:41:50.740999;Switch_on;1
2021-04-15 09:41:50.743802;Nederlands;1
2021-04-15 09:41:50.754169;Switch_on;1
2021-04-15 09:41:50.756955;Nederlands;1
2021-04-15 09:41:50.767312;Switch_on;1
2021-04-15 09:41:50.770104;Nederlands;1
2021-04-15 09:41:50.780603;Switch_on;1
2021-04-15 09:41:50.783764;Nederlands;1
2021-04-15 09:41:50.794273;Switch_on;1
2021-04-15 09:41:50.797333;Nederlands;1
2021-04-15 09:41:50.807858;Switch_on;1
2021-04-15 09:41:50.811076;Nederlands;1
2021-04-15 09:41:50.821618;Switch_on;1
2021-04-15 09:41:50.824679;Nederlands;1
2021-04-15 09:41:50.835201;Switch_on;1
2021-04-15 09:41:50.838314;Nederlands;1
2021-04-15 09:41:50.848751;Switch_on;1
2021-04-15 09:41:50.850629;Nederlands;1
2021-04-15 09:41:50.860915;Switch_on;1
2021-04-15 09:41:50.862542;Nederlands;1
2021-04-15 09:41:50.872780;Switch_on;1
2021-04-15 09:41:50.874463;Nederlands;1
2021-04-15 09:41:50.884815;Switch_on;1
2021-04-15 09:41:50.886511;Nederlands;1
2021-04-15 09:41:50.896760;Switch_on;1
2021-04-15 09:41:50.898418;Nederlands;1
